id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1172136452097884160,1172136452097884160,1568294082000,2019-09-12,16:14:42,Russie TZ 2,966650759965114368,boldoutlinemag,Bold Outline,,"Tara Sutaria confuses the internet with her childhood pictures. To know more:
#TaraSutaria #ParleG #Tarababy #Studentoftheyear2 #Bollywoodactress #Taimuralikhan #Celebrities #ThrowbackPictures #Celebritybaby https://boldoutline.in/whos-this-kid.html …",[],['https://boldoutline.in/whos-this-kid.html'],[],0,0,1,"['#tarasutaria', '#parleg', '#tarababy', '#studentoftheyear2', '#bollywoodactress', '#taimuralikhan', '#celebrities', '#throwbackpictures', '#celebritybaby']",[],https://twitter.com/Boldoutlinemag/status/1172136452097884160,False,,0,,,,,,,"[{'user_id': '966650759965114368', 'username': 'Boldoutlinemag'}]",
1172108108111310849,1172105607786053632,1568287324000,2019-09-12,14:22:04,Russie TZ 2,320357814,vipul2777,Crime Master Gogo,,One day I was not feeling sleepy at all.. Someone suggested me to watch #studentoftheyear2.. I slept in 20 mins sharp.. Thank you karan johar..( Try to see positive in everything) 😁,"['dhanashree0110', 'karanjohar']",[],[],0,0,3,['#studentoftheyear2'],[],https://twitter.com/vipul2777/status/1172108108111310849,False,,0,,,,,,,"[{'user_id': '320357814', 'username': 'vipul2777'}, {'user_id': '193249469', 'username': 'dhanashree0110'}, {'user_id': '57928790', 'username': 'karanjohar'}]",
1171990394520973317,1171990394520973317,1568259259000,2019-09-12,06:34:19,Russie TZ 2,367589500,theshahshahid,Shah Shahid,,"#Bollywood movies have gotten to a point where my 11-year old daughter is hate-watching #StudentOfTheYear2. 

Just… a constant barrage of stand-up worthy take downs with every scene. 

And this is despite her being a huge #TigerShroff fan.",[],[],[],1,0,6,"['#bollywood', '#studentoftheyear2', '#tigershroff']",[],https://twitter.com/theshahshahid/status/1171990394520973317,False,,0,,,,,,,"[{'user_id': '367589500', 'username': 'theshahshahid'}]",
1171859248805896192,1171859248805896192,1568227991000,2019-09-11,21:53:11,Russie TZ 2,91783764,anish_oza,Anish Oza,,"Just saw #StudentOfTheYear2. 
Just liked @ananyapandayy acting in it. After @aliaa08 looking forward for her movies.","['ananyapandayy', 'aliaa08']",[],[],0,0,0,['#studentoftheyear2'],[],https://twitter.com/anish_oza/status/1171859248805896192,False,,0,,,,,,,"[{'user_id': '91783764', 'username': 'anish_oza'}, {'user_id': '1047428392428044289', 'username': 'ananyapandayy'}, {'user_id': '183230911', 'username': 'aliaa08'}]",
1171692449862799361,1171692449862799361,1568188223000,2019-09-11,10:50:23,Russie TZ 2,813388410291421184,officialtiger__,TigerShroff⏺,,"Tiger Shroff led 'Rambo' Remake to Begin Production in March!! #TigerShroff, #Rambo, #StudentOfTheYear2, #War, #MunnaMichael, #AFlyingJatt, #Baaghi2  http://movizark.com/2019/09/11/tiger-shroff-led-rambo-remake-to-begin-production-in-march/ … pic.twitter.com/siWHy9YpdF",[],['http://movizark.com/2019/09/11/tiger-shroff-led-rambo-remake-to-begin-production-in-march/'],['https://pbs.twimg.com/media/EEKvYVPWsAA5JyH.jpg'],1,5,22,"['#tigershroff', '#rambo', '#studentoftheyear2', '#war', '#munnamichael', '#aflyingjatt', '#baaghi2']",[],https://twitter.com/officialtiger__/status/1171692449862799361,False,,0,,,,,,,"[{'user_id': '813388410291421184', 'username': 'officialtiger__'}]",
1171691687221051392,1171691687221051392,1568188041000,2019-09-11,10:47:21,Russie TZ 2,508702578,movizark,Mirza Baig,,"Tiger Shroff led 'Rambo' Remake to Begin Production in March!! #TigerShroff, #Rambo, #StudentOfTheYear2, #War, #MunnaMichael, #AFlyingJatt, #Baaghi2  http://movizark.com/2019/09/11/tiger-shroff-led-rambo-remake-to-begin-production-in-march/ … pic.twitter.com/bzjaTF5bkf",[],['http://movizark.com/2019/09/11/tiger-shroff-led-rambo-remake-to-begin-production-in-march/'],['https://pbs.twimg.com/media/EEKvYVPWsAA5JyH.jpg'],0,2,10,"['#tigershroff', '#rambo', '#studentoftheyear2', '#war', '#munnamichael', '#aflyingjatt', '#baaghi2']",[],https://twitter.com/movizark/status/1171691687221051392,False,,0,,,,,,,"[{'user_id': '508702578', 'username': 'movizark'}]",
1171670510783975424,1171668188297195520,1568182993000,2019-09-11,09:23:13,Russie TZ 2,1126818662411788288,godofthestupid,God of the Stupid,,"Wait a second!! Isn't #Chichore your Nick name?

#3Idiots - Idiots
#Jojeetawahisikander - Jeeta/winning
#StudentOfTheYear2 - Of the year  pic.twitter.com/D9rJzT2oxJ",['kamaalrkhan'],[],[],1,0,0,"['#chichore', '#3idiots', '#jojeetawahisikander', '#studentoftheyear2']",[],https://twitter.com/Godofthestupid/status/1171670510783975424,False,,1,,,,,,,"[{'user_id': '1126818662411788288', 'username': 'Godofthestupid'}, {'user_id': '115622213', 'username': 'kamaalrkhan'}]",
1171628476543242241,1171628476543242241,1568172971000,2019-09-11,06:36:11,Russie TZ 2,142210392,gurmatpal,Gurmat Dhillon,,"#Kalank 1.5/5
(slow paced, boring screenplay)

#Bharat 3/5
(emotional, but many scenes lacks objective and unnecessary songs)

#WhyCheatIndia 3/5
(for selected audience)

#StudentoftheYear2  3/5
(tiger has improved a lot, girls are good, no novelty in story)",[],[],[],0,0,0,"['#kalank', '#bharat', '#whycheatindia', '#studentoftheyear2']",[],https://twitter.com/Gurmatpal/status/1171628476543242241,False,,0,,,,,,,"[{'user_id': '142210392', 'username': 'Gurmatpal'}]",
1171319309768876032,1171319309768876032,1568099260000,2019-09-10,10:07:40,Russie TZ 2,1008962981286301698,viralnewss_,Viral News,,"Everything you need to know about Ishaan Khatter & Ananya Panday’s Khaali Peeli

 https://www.iwmbuzz.com/movies/snippets-movies/everything-need-know-ishaan-khatter-ananya-pandays-khaali-peeli/2019/09/10 …
#AnanyaPandey #Dhadak #IshaanKhattar #KhaaliPeeli #PatiPatniAurWoh #StudentOfTheYear2 #UpcomingBollywoodMovie",[],['https://www.iwmbuzz.com/movies/snippets-movies/everything-need-know-ishaan-khatter-ananya-pandays-khaali-peeli/2019/09/10'],[],0,0,0,"['#ananyapandey', '#dhadak', '#ishaankhattar', '#khaalipeeli', '#patipatniaurwoh', '#studentoftheyear2', '#upcomingbollywoodmovie']",[],https://twitter.com/ViralNewss_/status/1171319309768876032,False,,0,,,,,,,"[{'user_id': '1008962981286301698', 'username': 'ViralNewss_'}]",
1171314601624928256,1171314601624928256,1568098137000,2019-09-10,09:48:57,Russie TZ 2,1008962981286301698,viralnewss_,Viral News,,"Everything you need to know about Student of The Year 2

 https://www.iwmbuzz.com/movies/celebrities-movies/everything-need-know-student-year-2/2019/09/10 …
#AnanyaPandey #KaranJohar #SOTY2 #StudentOfTheYear2 #TaraSutaria #TigerShroff",[],['https://www.iwmbuzz.com/movies/celebrities-movies/everything-need-know-student-year-2/2019/09/10'],[],0,0,0,"['#ananyapandey', '#karanjohar', '#soty2', '#studentoftheyear2', '#tarasutaria', '#tigershroff']",[],https://twitter.com/ViralNewss_/status/1171314601624928256,False,,0,,,,,,,"[{'user_id': '1008962981286301698', 'username': 'ViralNewss_'}]",
